Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional			Viajero	Total		2025M07	13.044.764
Total Nacional			Viajero	Total		2025M06	12.256.716
Total Nacional			Viajero	Total		2025M05	11.803.477
Total Nacional			Viajero	Total		2025M04	10.018.537
Total Nacional			Viajero	Total		2025M03	7.680.722
Total Nacional			Viajero	Total		2025M02	6.539.960
Total Nacional			Viajero	Total		2025M01	5.776.075
Total Nacional			Viajero	Total	Residentes en España	2025M07	5.842.459
Total Nacional			Viajero	Total	Residentes en España	2025M06	5.440.374
Total Nacional			Viajero	Total	Residentes en España	2025M05	4.933.125
Total Nacional			Viajero	Total	Residentes en España	2025M04	4.547.495
Total Nacional			Viajero	Total	Residentes en España	2025M03	3.780.529
Total Nacional			Viajero	Total	Residentes en España	2025M02	3.419.893
Total Nacional			Viajero	Total	Residentes en España	2025M01	2.919.287
Total Nacional			Viajero	Total	Residentes en el Extranjero	2025M07	7.202.305
Total Nacional			Viajero	Total	Residentes en el Extranjero	2025M06	6.816.343
Total Nacional			Viajero	Total	Residentes en el Extranjero	2025M05	6.870.352
Total Nacional			Viajero	Total	Residentes en el Extranjero	2025M04	5.471.041
Total Nacional			Viajero	Total	Residentes en el Extranjero	2025M03	3.900.193
Total Nacional			Viajero	Total	Residentes en el Extranjero	2025M02	3.120.066
Total Nacional			Viajero	Total	Residentes en el Extranjero	2025M01	2.856.788
Total Nacional			Pernoctaciones	Total		2025M07	44.691.923
Total Nacional			Pernoctaciones	Total		2025M06	38.982.683
Total Nacional			Pernoctaciones	Total		2025M05	35.565.862
Total Nacional			Pernoctaciones	Total		2025M04	29.070.077
Total Nacional			Pernoctaciones	Total		2025M03	22.344.694
Total Nacional			Pernoctaciones	Total		2025M02	18.412.444
Total Nacional			Pernoctaciones	Total		2025M01	16.910.798
Total Nacional			Pernoctaciones	Total	Residentes en España	2025M07	14.895.856
Total Nacional			Pernoctaciones	Total	Residentes en España	2025M06	12.191.754
Total Nacional			Pernoctaciones	Total	Residentes en España	2025M05	10.891.067
Total Nacional			Pernoctaciones	Total	Residentes en España	2025M04	10.041.970
Total Nacional			Pernoctaciones	Total	Residentes en España	2025M03	8.016.309
Total Nacional			Pernoctaciones	Total	Residentes en España	2025M02	6.567.323
Total Nacional			Pernoctaciones	Total	Residentes en España	2025M01	5.735.585
Total Nacional			Pernoctaciones	Total	Residentes en el Extranjero	2025M07	29.796.067
Total Nacional			Pernoctaciones	Total	Residentes en el Extranjero	2025M06	26.790.929
Total Nacional			Pernoctaciones	Total	Residentes en el Extranjero	2025M05	24.674.795
Total Nacional			Pernoctaciones	Total	Residentes en el Extranjero	2025M04	19.028.107
Total Nacional			Pernoctaciones	Total	Residentes en el Extranjero	2025M03	14.328.386
Total Nacional			Pernoctaciones	Total	Residentes en el Extranjero	2025M02	11.845.120
Total Nacional			Pernoctaciones	Total	Residentes en el Extranjero	2025M01	11.175.213
Total Nacional	01 Andalucía		Viajero	Total		2025M07	2.118.987
Total Nacional	01 Andalucía		Viajero	Total		2025M06	2.052.030
Total Nacional	01 Andalucía		Viajero	Total		2025M05	2.026.477
Total Nacional	01 Andalucía		Viajero	Total		2025M04	1.847.225
Total Nacional	01 Andalucía		Viajero	Total		2025M03	1.370.955
Total Nacional	01 Andalucía		Viajero	Total		2025M02	1.210.103
Total Nacional	01 Andalucía		Viajero	Total		2025M01	983.971
Total Nacional	01 Andalucía		Viajero	Total	Residentes en España	2025M07	1.221.977
Total Nacional	01 Andalucía		Viajero	Total	Residentes en España	2025M06	1.099.444
Total Nacional	01 Andalucía		Viajero	Total	Residentes en España	2025M05	955.855
Total Nacional	01 Andalucía		Viajero	Total	Residentes en España	2025M04	857.178
Total Nacional	01 Andalucía		Viajero	Total	Residentes en España	2025M03	675.137
Total Nacional	01 Andalucía		Viajero	Total	Residentes en España	2025M02	683.922
Total Nacional	01 Andalucía		Viajero	Total	Residentes en España	2025M01	528.371
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2025M07	897.011
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2025M06	952.587
